,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
115,2015,04,12,LG,1,32,0.222,0.238,12.5,15.6,0.80,0.148,27.00,0.693,2.89,3.25,3.21,-0.88,0.02,0.316,-0.90
116,2015,04,12,KT,1,38,0.194,0.238,10.5,23.7,0.44,0.129,31.00,0.629,3.72,3.72,3.05,5.55,0.19,0.294,-1.84
117,2015,04,12,µÎ»ê,1,37,0.290,0.333,13.5,10.8,1.25,0.097,-,0.776,3.74,3.74,5.17,-0.43,0.03,0.359,0.42
118,2015,04,12,»ï¼º,1,38,0.250,0.269,5.3,21.0,0.25,0.278,18.00,0.817,5.58,5.58,4.61,8.79,0.01,0.339,-0.27
119,2015,04,12,NC,1,39,0.250,0.292,7.7,25.6,0.30,0.222,18.00,0.780,5.47,5.47,4.72,4.81,0.02,0.339,-0.29
120,2015,04,12,Hero,1,37,0.233,0.250,16.2,13.5,1.20,0.100,30.00,0.711,3.19,3.19,4.53,-3.94,0.04,0.340,-0.22
121,2015,04,12,ÇÑÈ­,1,35,0.156,0.111,8.6,31.4,0.27,0.282,10.67,0.667,3.38,3.38,2.44,1.81,0.01,0.282,-2.06
122,2015,04,14,µÎ»ê,1,53,0.500,0.500,11.3,11.3,1.00,0.500,8.80,1.558,22.99,22.99,20.64,2.34,0.05,0.634,13.83
123,2015,04,14,ÇÑÈ­,1,36,0.364,0.417,2.8,19.4,0.14,0.363,16.50,1.127,8.35,9.39,9.04,11.65,0.02,0.482,4.42
124,2015,04,14,·Ôµ¥,1,35,0.250,0.278,17.1,22.9,0.75,0.214,14.00,0.864,5.44,6.38,5.85,2.77,0.37,0.389,1.35
125,2015,04,14,»ï¼º,1,40,0.306,0.333,7.5,12.5,0.60,0.111,36.00,0.776,5.21,5.21,4.91,1.31,0.03,0.341,-0.23
126,2015,04,14,NC,1,41,0.250,0.391,9.8,31.7,0.31,0.083,-,0.674,4.55,4.38,4.15,3.47,0.36,0.317,-1.12
127,2015,04,14,KT,1,38,0.143,0.167,21.0,10.5,2.00,0.036,-,0.530,2.58,2.58,2.79,1.06,0.37,0.286,-2.09
128,2015,04,15,KIA,1,44,0.400,0.471,4.6,13.6,0.33,0.100,-,0.942,8.71,9.05,8.82,4.46,0.04,0.426,3.17
129,2015,04,15,»ï¼º,1,43,0.359,0.414,7.0,20.9,0.33,0.205,19.50,0.959,9.15,9.15,7.87,4.64,0.53,0.407,2.34
130,2015,04,15,·Ôµ¥,1,37,0.276,0.368,16.2,24.3,0.67,0.172,29.00,0.848,5.48,6.17,5.99,1.63,0.03,0.384,1.24
131,2015,04,15,µÎ»ê,1,58,0.267,0.316,17.2,13.8,1.25,0.044,-,0.725,6.29,4.59,7.47,0.41,0.06,0.347,0.02
132,2015,04,15,Hero,1,40,0.222,0.269,7.5,22.5,0.33,0.139,36.00,0.661,4.29,4.14,3.07,6.24,0.19,0.290,-2.07
133,2015,04,15,SK,1,37,0.257,0.318,5.4,29.7,0.18,0.200,17.50,0.754,5.07,5.26,4.12,4.22,0.19,0.328,-0.63
134,2015,04,15,LG,1,37,0.250,0.296,13.5,13.5,1.00,0.125,-,0.726,3.24,3.12,4.41,2.61,0.03,0.337,-0.35
135,2015,04,15,ÇÑÈ­,1,38,0.250,0.310,2.6,18.4,0.14,0.056,-,0.595,3.03,2.92,2.42,2.10,0.03,0.275,-2.47
136,2015,04,15,KT,1,57,0.209,0.241,19.3,22.8,0.85,0.210,21.50,0.794,8.45,6.34,7.64,4.62,0.38,0.353,0.31
