,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
148,2015,4,17,ÇÑÈ­,1,0,0,6.0,6,5,2,5.0,17.5,0.2,68.6,5.0,0.06,7.0,7.17,-0.05
149,2015,4,17,SK,0,0,1,6.0,6,4,4,2.6,21.1,0.22699999999999998,93.8,4.0,0.08,8.67,8.56,-0.19
150,2015,4,17,KIA,0,0,1,4.0,4,4,0,12.8,17.9,0.33299999999999996,73.3,4.0,0.3,4.45,4.63,0.15
151,2015,4,17,KT,0,0,1,6.0,6,6,1,15.8,15.8,0.292,66.2,6.75,-0.05,6.42,6.67,-0.06
152,2015,4,17,NC,0,0,1,10.0,10,9,1,7.3,12.2,0.419,44.9,10.12,-0.29,5.17,5.3,0.1
153,2015,4,17,·Ôµ¥,0,0,1,12.0,12,12,1,9.1,13.6,0.43799999999999994,43.0,13.5,-0.45,5.67,5.8,-0.05
154,2015,4,18,Hero,1,0,0,1.0,1,1,0,5.7,28.6,0.304,88.9,1.0,0.54,2.11,1.69,0.42
155,2015,4,18,»ï¼º,1,0,0,1.0,1,1,0,12.1,27.3,0.2,87.5,1.0,0.61,3.0,2.79,0.33
156,2015,4,18,µÎ»ê,1,0,0,5.0,5,4,0,4.9,26.8,0.5,68.8,4.0,0.06,2.23,1.75,0.24
157,2015,4,18,SK,1,0,0,4.0,4,4,1,8.3,22.2,0.20800000000000002,65.8,4.0,0.19,4.34,4.18,0.11
158,2015,4,18,ÇÑÈ­,1,0,0,6.0,6,6,1,2.6,13.2,0.355,60.3,6.0,0.11,4.34,4.41,0.12
159,2015,4,18,KT,0,0,1,3.0,3,3,1,15.8,7.9,0.26899999999999996,88.2,3.38,0.23,6.79,7.35,-0.11
160,2015,4,18,KIA,0,0,1,5.0,5,4,1,7.5,22.5,0.36,71.4,4.0,0.11,4.45,4.25,0.06
161,2015,4,18,·Ôµ¥,0,0,1,7.0,7,7,1,2.9,17.6,0.28,34.9,7.27,0.0,4.48,4.48,0.04
162,2015,4,18,NC,0,0,1,8.0,8,8,1,11.9,7.1,0.292,57.7,9.0,-0.22,7.54,8.26,-0.22
163,2015,4,18,LG,0,0,1,8.0,8,8,2,2.6,15.8,0.429,60.6,9.0,0.21,6.17,6.13,0.2
164,2015,4,19,Hero,1,0,0,4.0,4,3,1,5.4,27.0,0.292,69.8,3.0,0.36,3.56,3.14,0.21
