,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
83,2015,4,9,NC,1,42,0.342,0.444,7.1,26.2,0.27,0.21100000000000002,38.00,0.934,9.19,9.54,7.29,9.37,0.69,0.397,1.9
84,2015,4,9,»ï¼º,1,42,0.33299999999999996,0.32,14.3,11.9,1.20,0.273,11.00,1.056,10.24,11.52,9.66,4.13,0.38,0.45899999999999996,4.27
85,2015,4,9,ÇÑÈ­,1,37,0.21899999999999997,0.273,8.1,24.3,0.33,0.187,32.00,0.7120000000000001,4.33,4.5,3.8,4.31,0.02,0.318,-0.96
86,2015,4,9,µÎ»ê,1,31,0.179,0.22699999999999998,9.7,19.4,0.50,0.0,-,0.43700000000000006,1.66,1.86,0.36,3.06,0.52,0.218,-3.62
87,2015,4,9,·Ôµ¥,1,38,0.265,0.276,2.6,10.5,0.25,0.147,34.00,0.736,4.58,4.58,4.37,3.82,0.19,0.332,-0.52
88,2015,4,9,KIA,1,36,0.20600000000000002,0.185,5.6,13.9,0.40,0.17600000000000002,17.00,0.632,3.12,3.01,2.32,1.70,0.19,0.27699999999999997,-2.3
89,2015,4,9,KT,1,35,0.20600000000000002,0.24,0.0,22.9,0.00,0.11800000000000001,34.00,0.5529999999999999,2.57,2.57,1.27,2.81,0.02,0.24600000000000002,-3.22
90,2015,4,9,LG,1,39,0.185,0.22699999999999998,20.5,12.8,1.60,0.0,-,0.574,2.58,2.49,3.29,-0.74,0.2,0.298,-1.72
91,2015,4,9,Hero,1,30,0.0,0.0,10.0,26.7,0.38,0.0,-,0.1,0.08,0.08,-3.63,1.81,0.01,0.07200000000000001,-7.49
92,2015,4,10,LG,1,37,0.3,0.4,16.2,24.3,0.67,0.16699999999999998,30.00,0.884,6.08,7.14,6.49,3.24,0.03,0.39899999999999997,1.74
93,2015,4,10,»ï¼º,1,52,0.28600000000000003,0.31,15.4,19.2,0.80,0.309,14.00,1.0070000000000001,10.27,8.41,10.58,6.65,0.21,0.429,3.9
