,¿¬µµ,¿ù,ÆÀ¸í,R/G,Ãâ·çÀ²,ÀåÅ¸À²,OPS,º¼/»ï,ISO,RC/27,µµ½Ç
212,2017,9,SK,6.17,0.345,0.509,0.8540000000000001,0.25,0.21,6.29,0.37200000000000005
213,2017,9,NC,6.65,0.38799999999999996,0.516,0.904,0.52,0.192,7.64,0.396
214,2017,9,KT,5.38,0.33,0.451,0.7809999999999999,0.23,0.159,5.14,0.34299999999999997
215,2017,9,KIA,5.7,0.35700000000000004,0.456,0.813,0.5,0.156,5.82,0.361
216,2017,9,LG,4.64,0.335,0.374,0.7090000000000001,0.44,0.107,4.35,0.321
217,2017,9,ÇÑÈ­,4.61,0.335,0.40700000000000003,0.742,0.37,0.14,4.74,0.33299999999999996
218,2017,9,»ï¼º,6.21,0.34299999999999997,0.46799999999999997,0.8109999999999999,0.42,0.177,5.91,0.355
219,2017,9,Hero,5.1,0.32299999999999995,0.413,0.736,0.3,0.151,4.59,0.32799999999999996
220,2017,10,»ï¼º,10.0,0.386,0.514,0.9,0.83,0.20800000000000002,7.78,0.395
221,2017,10,SK,3.0,0.289,0.257,0.546,0.38,0.027999999999999997,2.98,0.26
222,2017,10,·Ôµ¥,4.0,0.267,0.321,0.588,0.5,0.107,2.97,0.267
223,2017,10,KIA,5.67,0.342,0.456,0.7979999999999999,0.63,0.19399999999999998,5.64,0.353
224,2017,10,µÎ»ê,4.0,0.35100000000000003,0.379,0.73,0.73,0.13699999999999998,4.57,0.337
225,2017,10,KT,8.33,0.402,0.524,0.9259999999999999,0.2,0.153,8.74,0.409
226,2017,10,Hero,9.0,0.42200000000000004,0.659,1.081,0.33,0.293,11.22,0.46299999999999997
227,2017,10,ÇÑÈ­,6.0,0.319,0.43700000000000006,0.7559999999999999,0.6,0.161,5.36,0.32799999999999996
228,2017,10,LG,2.5,0.27,0.36200000000000004,0.632,0.18,0.13,3.59,0.282
229,2017,10,NC,8.0,0.40700000000000003,0.41700000000000004,0.8240000000000001,0.5,0.084,6.49,0.38
230,2018,3,NC,6.14,0.368,0.413,0.7809999999999999,0.56,0.13,5.56,0.353
231,2018,3,Hero,5.43,0.382,0.467,0.8490000000000001,0.46,0.17300000000000001,6.54,0.37799999999999995
232,2018,3,SK,6.43,0.355,0.485,0.84,0.46,0.21100000000000002,6.19,0.369
233,2018,3,µÎ»ê,5.29,0.34,0.41200000000000003,0.752,0.47,0.151,5.06,0.33899999999999997
234,2018,3,KIA,7.14,0.39,0.541,0.9309999999999999,0.5,0.22699999999999998,7.8,0.406
235,2018,3,KT,6.86,0.355,0.546,0.9009999999999999,0.3,0.233,7.45,0.39
236,2018,3,ÇÑÈ­,3.57,0.337,0.39799999999999996,0.735,0.35,0.12300000000000001,4.59,0.33399999999999996
237,2018,3,LG,4.14,0.325,0.39399999999999996,0.7190000000000001,0.46,0.133,4.42,0.32299999999999995
238,2018,3,»ï¼º,3.71,0.314,0.344,0.6579999999999999,0.39,0.092,3.73,0.3
239,2018,3,·Ôµ¥,3.0,0.275,0.29,0.565,0.38,0.094,2.58,0.263
240,2018,4,µÎ»ê,6.22,0.364,0.467,0.831,0.47,0.174,6.36,0.36700000000000005
241,2018,4,LG,5.75,0.374,0.47100000000000003,0.845,0.47,0.163,6.26,0.374
242,2018,4,SK,6.22,0.373,0.518,0.8909999999999999,0.49,0.226,6.91,0.389
243,2018,4,·Ôµ¥,5.77,0.369,0.467,0.836,0.39,0.165,6.32,0.37200000000000005
244,2018,4,ÇÑÈ­,5.41,0.34600000000000003,0.41200000000000003,0.758,0.4,0.133,5.12,0.34
245,2018,4,KT,5.46,0.35100000000000003,0.47200000000000003,0.823,0.48,0.18899999999999997,5.91,0.363
246,2018,4,KIA,5.14,0.349,0.442,0.7909999999999999,0.45,0.153,5.2,0.35100000000000003
247,2018,4,»ï¼º,4.58,0.35100000000000003,0.40700000000000003,0.758,0.45,0.13,5.07,0.344
248,2018,4,Hero,3.72,0.32,0.371,0.691,0.39,0.122,4.15,0.312
249,2018,4,NC,3.33,0.281,0.337,0.618,0.26,0.10800000000000001,3.09,0.28
250,2018,5,ÇÑÈ­,4.6,0.33299999999999996,0.408,0.741,0.42,0.13699999999999998,4.45,0.332
251,2018,5,µÎ»ê,5.78,0.34700000000000003,0.457,0.804,0.39,0.163,5.92,0.355
252,2018,5,Hero,6.2,0.365,0.491,0.856,0.37,0.18600000000000003,6.88,0.377
253,2018,5,»ï¼º,5.52,0.36,0.457,0.8170000000000001,0.49,0.154,5.75,0.36200000000000004
254,2018,5,KIA,6.19,0.37799999999999995,0.48700000000000004,0.865,0.55,0.174,6.75,0.382
255,2018,5,LG,5.58,0.354,0.439,0.7929999999999999,0.39,0.133,5.71,0.35200000000000004
256,2018,5,·Ôµ¥,5.04,0.341,0.43799999999999994,0.779,0.37,0.156,5.08,0.345
