,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
762,2016,김성현,SK,유격수,27,22,199.66666666666663,7,0,25,74,15,0.934,0,0,0,0.0,0.319,530,479,66,153,28,0,8,205,65,5,7
778,2016,박승욱,SK,유격수,20,12,112.66666666666669,2,0,20,44,7,0.97,0,0,0,0.0,0.276,103,87,19,24,4,1,3,39,13,4,1
786,2016,최정용,SK,유격수,10,0,14.333333333333336,1,0,3,2,1,0.833,0,0,0,0.0,0.29600000000000004,61,54,10,16,1,1,0,19,2,4,0
794,2017,김하성,키움,유격수,138,133,1163.0,18,0,207,422,71,0.972,0,0,0,0.0,0.302,601,526,90,159,36,3,23,270,114,2,7
796,2017,김민성,키움,유격수,5,5,30.0,0,0,7,6,2,1.0,0,0,0,0.0,0.282,530,472,59,133,26,1,15,206,78,0,8
817,2017,김지수,키움,유격수,12,2,39.0,0,0,6,7,3,1.0,0,0,0,0.0,0.171,40,35,7,6,0,0,1,9,5,1,2
828,2017,김혜성,키움,유격수,6,2,23.0,1,0,4,6,0,0.909,0,0,0,0.0,0.188,17,16,1,3,2,0,0,5,2,0,0
843,2017,김재호,두산,유격수,91,81,688.0,9,0,112,262,52,0.977,0,0,0,0.0,0.293,331,283,34,83,18,1,7,124,50,2,7
845,2017,류지혁,두산,유격수,86,60,543.0,13,0,93,180,29,0.955,0,0,0,0.0,0.259,330,297,60,77,13,4,3,107,26,8,0
866,2017,신성현,두산,유격수,3,1,9.0,1,0,0,2,0,0.667,0,0,0,0.0,0.16399999999999998,72,67,5,11,2,1,1,18,7,1,1
867,2017,서예일,두산,유격수,12,3,51.0,1,0,9,27,5,0.973,0,0,0,0.0,0.261,25,23,5,6,2,0,0,8,2,1,0
880,2017,번즈,롯데,유격수,3,0,6.0,0,0,0,2,0,1.0,0,0,0,0.0,0.303,468,423,71,128,38,0,15,211,57,2,3
882,2017,신본기,롯데,유격수,92,71,608.0,6,0,77,199,42,0.9790000000000001,0,0,0,0.0,0.237,381,325,49,77,11,0,5,103,47,13,5
884,2017,문규현,롯데,유격수,83,64,576.6666666666666,4,0,101,214,42,0.987,0,0,0,0.0,0.27,337,304,38,82,15,2,6,119,42,18,3
907,2017,김대륙,롯데,유격수,19,7,78.66666666666667,1,0,20,26,7,0.9790000000000001,0,0,0,0.0,0.151,58,53,4,8,2,0,0,10,2,1,0
912,2017,김민수,롯데,유격수,3,2,17.0,0,0,1,5,1,1.0,0,0,0,0.0,0.17600000000000002,19,17,0,3,0,0,0,3,0,1,0
917,2017,이원석,삼성,유격수,10,7,58.66666666666666,0,0,14,24,6,1.0,0,0,0,0.0,0.265,459,411,55,109,20,1,18,185,62,4,6
922,2017,강한울,삼성,유격수,83,72,617.0,12,0,106,204,51,0.963,0,0,0,0.0,0.303,448,412,58,125,9,3,0,140,24,9,1
930,2017,김상수,삼성,유격수,40,38,306.6666666666667,7,0,56,83,21,0.9520000000000001,0,0,0,0.0,0.264,154,144,17,38,7,0,3,54,13,3,1
932,2017,김성훈,삼성,유격수,24,15,148.33333333333334,1,0,26,51,10,0.987,0,0,0,0.0,0.318,166,151,27,48,4,2,0,56,18,1,1
933,2017,정병곤,삼성,유격수,30,12,146.66666666666666,1,0,24,59,16,0.988,0,0,0,0.0,0.21600000000000003,82,74,16,16,0,0,2,22,7,2,0
950,2017,하주석,한화,유격수,108,104,913.3333333333335,9,0,158,298,61,0.981,0,0,0,0.0,0.285,470,432,69,123,18,8,11,190,52,9,1
969,2017,정경운,한화,유격수,35,24,238.66666666666663,5,0,38,74,18,0.9570000000000001,0,0,0,0.0,0.23600000000000002,121,106,8,25,2,1,1,32,7,4,2
977,2017,강경학,한화,유격수,10,6,42.0,2,0,7,10,4,0.895,0,0,0,0.0,0.214,93,84,17,18,2,1,0,22,4,0,0
989,2017,김선빈,KIA,유격수,134,122,1056.0,14,0,169,346,80,0.9740000000000001,0,0,0,0.0,0.37,529,476,84,176,34,1,5,227,64,5,4
1009,2017,고장혁,KIA,유격수,19,3,50.33333333333334,1,0,6,16,4,0.9570000000000001,0,0,0,0.0,0.237,40,38,13,9,3,0,0,12,3,1,1
1012,2017,김지성,KIA,유격수,24,9,83.0,3,0,15,33,8,0.941,0,0,0,0.0,0.23399999999999999,49,47,6,11,3,0,2,20,4,0,0
1020,2017,최원준,KIA,유격수,13,9,74.66666666666667,2,0,8,23,3,0.9390000000000001,0,0,0,0.0,0.308,174,156,27,48,15,0,3,72,27,3,3
1033,2017,박기혁,KT,유격수,97,75,628.3333333333334,9,0,85,213,46,0.971,0,0,0,0.0,0.23800000000000002,263,235,22,56,11,1,2,75,18,7,3
1041,2017,정현,KT,유격수,64,42,387.66666666666674,7,0,71,135,25,0.9670000000000001,0,0,0,0.0,0.3,399,350,45,105,20,3,6,149,42,6,3
1045,2017,심우준,KT,유격수,39,26,225.0,10,0,39,80,13,0.922,0,0,0,0.0,0.287,303,286,38,82,15,2,4,113,26,4,1
1072,2017,오지환,LG,유격수,106,95,830.6666666666665,11,0,132,255,51,0.972,0,0,0,0.0,0.272,390,334,47,91,13,4,8,136,39,1,5
1080,2017,손주인,LG,유격수,36,29,241.66666666666663,3,0,36,83,9,0.975,0,0,0,0.0,0.27899999999999997,334,294,48,82,13,0,5,110,33,9,6
1094,2017,최재원,LG,유격수,7,1,15.333333333333336,1,0,0,4,1,0.8,0,0,0,0.0,0.23199999999999998,159,142,20,33,4,1,1,42,12,3,3
1101,2017,황목치승,LG,유격수,19,5,71.33333333333333,3,0,10,23,7,0.917,0,0,0,0.0,0.207,34,29,14,6,0,0,0,6,3,2,1
1108,2017,백승현,LG,유격수,9,9,69.0,2,0,12,25,6,0.9490000000000001,0,0,0,0.0,0.217,30,23,2,5,1,0,0,6,1,1,0
1110,2017,윤진호,LG,유격수,6,0,12.0,0,0,1,4,3,1.0,0,0,0,0.0,0.33299999999999996,3,3,1,1,0,0,0,1,1,0,0
1115,2017,손시헌,NC,유격수,123,107,849.6666666666665,10,0,154,301,62,0.978,0,0,0,0.0,0.35,391,349,32,122,17,1,5,156,45,13,5
1123,2017,지석훈,NC,유격수,63,34,315.3333333333333,6,0,56,100,21,0.963,0,0,0,0.0,0.239,304,268,29,64,16,0,6,98,24,2,2
1128,2017,이상호,NC,유격수,14,3,44.0,1,0,2,5,0,0.875,0,0,0,0.0,0.335,241,227,33,76,8,0,0,84,15,5,0
1137,2017,도태훈,NC,유격수,11,0,39.66666666666666,1,0,6,12,2,0.9470000000000001,0,0,0,0.0,0.191,51,47,3,9,1,0,1,13,4,0,0
1142,2017,황윤호,NC,유격수,15,0,24.0,1,0,3,8,2,0.917,0,0,0,0.0,0.133,17,15,8,2,0,1,0,4,0,0,0
1153,2017,노진혁,NC,유격수,4,0,10.0,0,0,1,5,1,1.0,0,0,0,0.0,0.28600000000000003,7,7,2,2,1,0,0,3,0,0,0
1156,2017,김성현,SK,유격수,5,3,20.33333333333333,0,0,2,13,3,1.0,0,0,0,0.0,0.271,429,380,45,103,14,0,4,129,29,7,3
1166,2017,나주환,SK,유격수,76,64,527.0,6,0,94,175,42,0.978,0,0,0,0.0,0.29100000000000004,452,419,69,122,24,1,19,205,65,8,1
1170,2017,박승욱,SK,유격수,68,46,443.0,11,0,67,144,22,0.95,0,0,0,0.0,0.203,184,158,25,32,3,2,3,48,11,5,1
1180,2017,이대수,SK,유격수,44,31,278.3333333333333,5,0,52,100,30,0.968,0,0,0,0.0,0.276,124,105,18,29,5,1,0,36,4,7,0
1196,2018,김하성,키움,유격수,126,124,1071.6666666666667,13,0,206,396,69,0.9790000000000001,0,0,0,0.0,0.28800000000000003,576,511,95,147,27,4,20,242,84,1,5
1201,2018,김혜성,키움,유격수,40,20,204.33333333333331,4,0,37,66,14,0.963,0,0,0,0.0,0.27,473,430,79,116,15,6,5,158,45,3,2
1222,2018,김지수,키움,유격수,3,0,6.0,0,0,1,4,2,1.0,0,0,0,0.0,0.147,39,34,4,5,0,0,0,5,0,0,0
1235,2018,김재호,두산,유격수,129,114,939.0,12,0,154,285,66,0.973,0,0,0,0.0,0.311,467,402,78,125,20,0,16,193,75,3,6
1243,2018,류지혁,두산,유격수,74,29,336.0,4,0,71,109,30,0.978,0,0,0,0.0,0.268,280,228,52,61,7,0,1,71,29,11,2
1279,2018,문규현,롯데,유격수,110,83,726.3333333333335,13,0,105,237,46,0.963,0,0,0,0.0,0.275,349,316,42,87,19,1,6,126,41,9,6
1285,2018,신본기,롯데,유격수,83,59,522.6666666666666,11,0,81,166,36,0.9570000000000001,0,0,0,0.0,0.294,479,425,55,125,28,1,11,188,71,5,5
1310,2018,전병우,롯데,유격수,6,2,24.66666666666667,0,0,4,4,2,1.0,0,0,0,0.0,0.364,77,66,18,24,7,0,3,40,13,0,1
