,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1247,2018,박세혁,두산,포수,73,32,366.66666666666674,2,1,283,23,3,0.9940000000000001,2,15,7,31.8,0.282,194,170,37,48,12,0,3,69,22,3,1
1263,2018,장승현,두산,포수,17,3,42.333333333333336,0,0,40,3,0,1.0,0,5,2,28.6,0.385,16,13,2,5,0,0,0,5,1,2,0
1281,2018,나종덕,롯데,포수,105,62,548.3333333333334,4,0,537,30,7,0.993,7,40,19,32.2,0.124,203,177,15,22,3,0,2,31,11,9,0
1289,2018,안중열,롯데,포수,60,55,446.66666666666674,5,0,373,25,1,0.988,2,27,9,25.0,0.247,176,154,19,38,11,0,4,61,18,7,0
1290,2018,김사훈,롯데,포수,55,24,233.66666666666663,2,0,234,12,5,0.992,4,29,5,14.7,0.23,79,74,7,17,3,0,0,20,6,3,0
1304,2018,나원탁,롯데,포수,18,3,55.0,2,0,53,3,0,0.966,1,5,1,16.7,0.125,24,24,0,3,0,0,0,3,1,0,0
1321,2018,강민호,삼성,포수,109,106,857.6666666666665,8,1,753,35,7,0.99,4,63,20,24.1,0.26899999999999996,477,427,46,115,14,0,22,195,71,0,7
1327,2018,이지영,삼성,포수,73,36,389.33333333333326,4,0,366,21,5,0.99,3,32,8,20.0,0.34299999999999997,203,178,31,61,10,0,2,77,19,6,0
1342,2018,김민수,삼성,포수,7,0,14.333333333333336,0,0,15,0,0,1.0,0,0,0,0.0,0.16699999999999998,6,6,0,1,0,0,0,1,0,0,0
1343,2018,권정웅,삼성,포수,6,2,23.0,0,0,18,0,0,1.0,0,5,0,0.0,0.0,8,8,0,0,0,0,0,0,0,0,0
1355,2018,최재훈,한화,포수,126,95,830.6666666666665,5,0,747,48,14,0.9940000000000001,7,52,25,32.5,0.262,341,298,36,78,17,0,1,98,27,6,2
1358,2018,지성준,한화,포수,84,48,433.0,3,0,400,31,6,0.993,4,31,8,20.5,0.275,224,207,22,57,7,0,7,85,29,2,1
1394,2018,김민식,KIA,포수,121,100,844.0,4,1,708,51,6,0.995,6,71,19,21.1,0.245,365,310,53,76,9,3,6,109,37,11,2
1404,2018,한승택,KIA,포수,59,29,254.66666666666663,1,2,235,27,1,0.996,2,11,11,50.0,0.247,101,89,10,22,6,0,3,37,15,3,0
