,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA
143,2015,4,16,Hero,0.0,0,0,0,3.3,23.3,0.05,0.037000000000000005,0.10300000000000001,0.037000000000000005,0.14,0.083
144,2015,4,17,ÇÑÈ­,10.0,10,1,0,7.3,12.2,0.419,0.4,0.425,0.629,1.054,0.44799999999999995
145,2015,4,17,µÎ»ê,12.0,12,1,0,9.1,13.6,0.43799999999999994,0.385,0.455,0.5379999999999999,0.993,0.444
146,2015,4,17,LG,6.0,6,4,0,2.6,21.0,0.22699999999999998,0.265,0.324,0.647,0.971,0.40700000000000003
147,2015,4,17,»ï¼º,6.0,6,1,4,15.8,15.8,0.292,0.258,0.395,0.387,0.782,0.365
148,2015,4,17,Hero,4.0,4,0,1,12.8,18.0,0.33299999999999996,0.258,0.395,0.387,0.782,0.366
149,2015,4,17,SK,1.0,1,0,0,5.7,22.9,0.348,0.258,0.34299999999999997,0.258,0.601,0.29600000000000004
150,2015,4,17,NC,6.0,6,2,0,5.0,17.5,0.2,0.212,0.325,0.424,0.7490000000000001,0.335
151,2015,4,17,KT,1.0,1,0,2,5.4,24.3,0.28,0.20600000000000002,0.27,0.265,0.535,0.253
152,2015,4,17,KIA,3.0,3,0,0,15.4,20.5,0.25,0.188,0.316,0.188,0.504,0.259
153,2015,4,17,·Ôµ¥,1.0,1,1,0,12.1,21.2,0.14300000000000002,0.138,0.242,0.276,0.518,0.24100000000000002
154,2015,4,18,SK,8.0,8,2,1,2.6,15.8,0.429,0.389,0.42100000000000004,0.667,1.088,0.469
155,2015,4,18,ÇÑÈ­,8.0,8,1,1,11.9,7.1,0.292,0.308,0.45899999999999996,0.5379999999999999,0.997,0.429
156,2015,4,18,Hero,5.0,5,1,0,7.5,22.5,0.36,0.28600000000000003,0.359,0.486,0.845,0.374
157,2015,4,18,»ï¼º,3.0,3,1,1,15.8,7.9,0.26899999999999996,0.267,0.405,0.467,0.872,0.384
158,2015,4,18,µÎ»ê,7.0,7,1,0,2.9,17.6,0.28,0.258,0.294,0.419,0.713,0.311
159,2015,4,18,·Ôµ¥,5.0,5,0,1,4.9,26.8,0.5,0.361,0.4,0.444,0.8440000000000001,0.38299999999999995
160,2015,4,18,NC,6.0,6,1,1,2.6,13.2,0.355,0.33299999999999996,0.342,0.444,0.7859999999999999,0.34600000000000003
161,2015,4,18,KIA,1.0,1,0,0,5.7,28.6,0.304,0.212,0.257,0.303,0.56,0.257
